//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-17-2018
//--  Time: 11:15
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 1000 Ohms
//--    Temperature1: 16(C), 	Resistance 1: 2650 Ohms 
//--    Temperature2: 45(C), 	Resistance 2: 800 Ohms 
//--    Temperature3: 97(C), 	Resistance 3: 183 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
380	129.15	1292 	1.855
381	128.92	1289 	1.860
382	128.69	1287 	1.865
383	128.45	1285 	1.870
384	128.22	1282 	1.875
385	127.99	1280 	1.880
386	127.76	1278 	1.885
387	127.53	1275 	1.890
388	127.30	1273 	1.895
389	127.08	1271 	1.899
390	126.85	1268 	1.904
391	126.62	1266 	1.909
392	126.39	1264 	1.914
393	126.17	1262 	1.919
394	125.94	1259 	1.924
395	125.71	1257 	1.929
396	125.49	1255 	1.934
397	125.27	1253 	1.938
398	125.04	1250 	1.943
399	124.82	1248 	1.948
400	124.59	1246 	1.953
401	124.37	1244 	1.958
402	124.15	1241 	1.963
403	123.93	1239 	1.968
404	123.71	1237 	1.973
405	123.48	1235 	1.978
406	123.26	1233 	1.982
407	123.04	1230 	1.987
408	122.82	1228 	1.992
409	122.60	1226 	1.997
410	122.39	1224 	2.002
411	122.17	1222 	2.007
412	121.95	1219 	2.012
413	121.73	1217 	2.017
414	121.51	1215 	2.021
415	121.30	1213 	2.026
416	121.08	1211 	2.031
417	120.86	1209 	2.036
418	120.65	1206 	2.041
419	120.43	1204 	2.046
420	120.22	1202 	2.051
421	120.00	1200 	2.056
422	119.79	1198 	2.061
423	119.58	1196 	2.065
424	119.36	1194 	2.070
425	119.15	1192 	2.075
426	118.94	1189 	2.080
427	118.73	1187 	2.085
428	118.51	1185 	2.090
429	118.30	1183 	2.095
430	118.09	1181 	2.100
431	117.88	1179 	2.104
432	117.67	1177 	2.109
433	117.46	1175 	2.114
434	117.25	1173 	2.119
435	117.04	1170 	2.124
436	116.83	1168 	2.129
437	116.63	1166 	2.134
438	116.42	1164 	2.139
439	116.21	1162 	2.144
440	116.00	1160 	2.148
441	115.80	1158 	2.153
442	115.59	1156 	2.158
443	115.38	1154 	2.163
444	115.18	1152 	2.168
445	114.97	1150 	2.173
446	114.77	1148 	2.178
447	114.56	1146 	2.183
448	114.36	1144 	2.188
449	114.15	1142 	2.192
450	113.95	1139 	2.197
451	113.74	1137 	2.202
452	113.54	1135 	2.207
453	113.34	1133 	2.212
454	113.14	1131 	2.217
455	112.93	1129 	2.222
456	112.73	1127 	2.227
457	112.53	1125 	2.231
458	112.33	1123 	2.236
459	112.13	1121 	2.241
460	111.92	1119 	2.246
461	111.72	1117 	2.251
462	111.52	1115 	2.256
463	111.32	1113 	2.261
464	111.12	1111 	2.266
465	110.92	1109 	2.271
466	110.73	1107 	2.275
467	110.53	1105 	2.280
468	110.33	1103 	2.285
469	110.13	1101 	2.290
470	109.93	1099 	2.295
471	109.73	1097 	2.300
472	109.54	1095 	2.305
473	109.34	1093 	2.310
474	109.14	1091 	2.314
475	108.95	1089 	2.319
476	108.75	1087 	2.324
477	108.55	1086 	2.329
478	108.36	1084 	2.334
479	108.16	1082 	2.339
480	107.97	1080 	2.344
481	107.77	1078 	2.349
482	107.58	1076 	2.354
483	107.38	1074 	2.358
484	107.19	1072 	2.363
485	106.99	1070 	2.368
486	106.80	1068 	2.373
487	106.61	1066 	2.378
488	106.41	1064 	2.383
489	106.22	1062 	2.388
490	106.03	1060 	2.393
491	105.83	1058 	2.397
492	105.64	1056 	2.402
493	105.45	1054 	2.407
494	105.26	1053 	2.412
495	105.07	1051 	2.417
496	104.87	1049 	2.422
497	104.68	1047 	2.427
498	104.49	1045 	2.432
499	104.30	1043 	2.437
500	104.11	1041 	2.441
501	103.92	1039 	2.446
502	103.73	1037 	2.451
503	103.54	1035 	2.456
504	103.35	1034 	2.461
505	103.16	1032 	2.466
506	102.97	1030 	2.471
507	102.78	1028 	2.476
508	102.59	1026 	2.480
509	102.41	1024 	2.485
510	102.22	1022 	2.490
511	102.03	1020 	2.495
512	101.84	1018 	2.500
513	101.65	1017 	2.505
514	101.47	1015 	2.510
515	101.28	1013 	2.515
516	101.09	1011 	2.520
517	100.90	1009 	2.524
518	100.72	1007 	2.529
519	100.53	1005 	2.534
520	100.34	1003 	2.539
521	100.16	1002 	2.544
522	99.97	1000 	2.549
523	99.79	998 	2.554
524	99.60	996 	2.559
525	99.42	994 	2.563
526	99.23	992 	2.568
527	99.04	990 	2.573
528	98.86	989 	2.578
529	98.68	987 	2.583
530	98.49	985 	2.588
531	98.31	983 	2.593
532	98.12	981 	2.598
533	97.94	979 	2.603
534	97.75	978 	2.607
535	97.57	976 	2.612
536	97.39	974 	2.617
537	97.20	972 	2.622
538	97.02	970 	2.627
539	96.84	968 	2.632
540	96.65	967 	2.637
541	96.47	965 	2.642
542	96.29	963 	2.646
543	96.11	961 	2.651
544	95.92	959 	2.656
545	95.74	957 	2.661
546	95.56	956 	2.666
547	95.38	954 	2.671
548	95.20	952 	2.676
549	95.01	950 	2.681
550	94.83	948 	2.686
551	94.65	947 	2.690
552	94.47	945 	2.695
553	94.29	943 	2.700
554	94.11	941 	2.705
555	93.93	939 	2.710
556	93.75	937 	2.715
557	93.57	936 	2.720
558	93.39	934 	2.725
559	93.21	932 	2.729
560	93.02	930 	2.734
561	92.84	928 	2.739
562	92.67	927 	2.744
563	92.49	925 	2.749
564	92.31	923 	2.754
565	92.13	921 	2.759
566	91.95	919 	2.764
567	91.77	918 	2.769
568	91.59	916 	2.773
569	91.41	914 	2.778
570	91.23	912 	2.783
571	91.05	911 	2.788
572	90.87	909 	2.793
573	90.69	907 	2.798
574	90.52	905 	2.803
575	90.34	903 	2.808
576	90.16	902 	2.813
577	89.98	900 	2.817
578	89.80	898 	2.822
579	89.62	896 	2.827
580	89.45	894 	2.832
581	89.27	893 	2.837
582	89.09	891 	2.842
583	88.91	889 	2.847
584	88.74	887 	2.852
585	88.56	886 	2.856
586	88.38	884 	2.861
587	88.20	882 	2.866
588	88.03	880 	2.871
589	87.85	879 	2.876
590	87.67	877 	2.881
591	87.50	875 	2.886
592	87.32	873 	2.891
593	87.14	871 	2.896
594	86.97	870 	2.900
595	86.79	868 	2.905
596	86.61	866 	2.910
597	86.44	864 	2.915
598	86.26	863 	2.920
599	86.08	861 	2.925
600	85.91	859 	2.930
601	85.73	857 	2.935
602	85.56	856 	2.939
603	85.38	854 	2.944
604	85.20	852 	2.949
605	85.03	850 	2.954
606	84.85	849 	2.959
607	84.68	847 	2.964
608	84.50	845 	2.969
609	84.33	843 	2.974
610	84.15	842 	2.979
611	83.98	840 	2.983
612	83.80	838 	2.988
613	83.62	836 	2.993
614	83.45	834 	2.998
615	83.27	833 	3.003
616	83.10	831 	3.008
617	82.92	829 	3.013
618	82.75	827 	3.018
619	82.57	826 	3.022
620	82.40	824 	3.027
621	82.22	822 	3.032
622	82.05	820 	3.037
623	81.87	819 	3.042
624	81.70	817 	3.047
625	81.52	815 	3.052
626	81.35	813 	3.057
627	81.17	812 	3.062
628	81.00	810 	3.066
629	80.83	808 	3.071
630	80.65	807 	3.076
631	80.48	805 	3.081
632	80.30	803 	3.086
633	80.13	801 	3.091
634	79.95	800 	3.096
635	79.78	798 	3.101
636	79.60	796 	3.105
637	79.43	794 	3.110
638	79.25	793 	3.115
639	79.08	791 	3.120
640	78.91	789 	3.125
641	78.73	787 	3.130
642	78.56	786 	3.135
643	78.38	784 	3.140
644	78.21	782 	3.145
645	78.03	780 	3.149
646	77.86	779 	3.154
647	77.69	777 	3.159
648	77.51	775 	3.164
649	77.34	773 	3.169
650	77.16	772 	3.174
651	76.99	770 	3.179
652	76.81	768 	3.184
653	76.64	766 	3.188
654	76.47	765 	3.193
655	76.29	763 	3.198
656	76.12	761 	3.203
657	75.94	759 	3.208
658	75.77	758 	3.213
659	75.59	756 	3.218
660	75.42	754 	3.223
661	75.24	752 	3.228
662	75.07	751 	3.232
663	74.90	749 	3.237
664	74.72	747 	3.242
665	74.55	745 	3.247
666	74.37	744 	3.252
667	74.20	742 	3.257
668	74.02	740 	3.262
669	73.85	738 	3.267
670	73.67	737 	3.271
671	73.50	735 	3.276
672	73.33	733 	3.281
673	73.15	732 	3.286
674	72.98	730 	3.291
675	72.80	728 	3.296
676	72.63	726 	3.301
677	72.45	725 	3.306
678	72.28	723 	3.311
679	72.10	721 	3.315
680	71.93	719 	3.320
681	71.75	718 	3.325
682	71.58	716 	3.330
683	71.40	714 	3.335
684	71.23	712 	3.340
685	71.05	711 	3.345
686	70.88	709 	3.350
687	70.70	707 	3.354
688	70.53	705 	3.359
689	70.35	704 	3.364
690	70.18	702 	3.369
691	70.00	700 	3.374
692	69.82	698 	3.379
693	69.65	696 	3.384
694	69.47	695 	3.389
695	69.30	693 	3.394
696	69.12	691 	3.398
697	68.95	689 	3.403
698	68.77	688 	3.408
699	68.59	686 	3.413
700	68.42	684 	3.418
701	68.24	682 	3.423
702	68.07	681 	3.428
703	67.89	679 	3.433
704	67.71	677 	3.438
705	67.54	675 	3.442
706	67.36	674 	3.447
707	67.18	672 	3.452
708	67.01	670 	3.457
709	66.83	668 	3.462
710	66.65	667 	3.467
711	66.48	665 	3.472
712	66.30	663 	3.477
713	66.12	661 	3.481
714	65.94	659 	3.486
715	65.77	658 	3.491
716	65.59	656 	3.496
717	65.41	654 	3.501
718	65.23	652 	3.506
719	65.06	651 	3.511
720	64.88	649 	3.516
721	64.70	647 	3.521
722	64.52	645 	3.525
723	64.34	643 	3.530
724	64.17	642 	3.535
725	63.99	640 	3.540
726	63.81	638 	3.545
727	63.63	636 	3.550
728	63.45	635 	3.555
729	63.27	633 	3.560
730	63.09	631 	3.564
731	62.91	629 	3.569
732	62.73	627 	3.574
733	62.55	626 	3.579
734	62.37	624 	3.584
735	62.19	622 	3.589
736	62.01	620 	3.594
737	61.83	618 	3.599
738	61.65	617 	3.604
739	61.47	615 	3.608
740	61.29	613 	3.613
741	61.11	611 	3.618
742	60.93	609 	3.623
743	60.75	608 	3.628
744	60.57	606 	3.633
745	60.39	604 	3.638
746	60.21	602 	3.643
747	60.02	600 	3.647
748	59.84	598 	3.652
749	59.66	597 	3.657
750	59.48	595 	3.662
751	59.30	593 	3.667
752	59.11	591 	3.672
753	58.93	589 	3.677
754	58.75	587 	3.682
755	58.56	586 	3.687
756	58.38	584 	3.691
757	58.20	582 	3.696
758	58.01	580 	3.701
759	57.83	578 	3.706
760	57.65	576 	3.711
761	57.46	575 	3.716
762	57.28	573 	3.721
763	57.09	571 	3.726
764	56.91	569 	3.730
765	56.72	567 	3.735
766	56.54	565 	3.740
767	56.35	564 	3.745
768	56.17	562 	3.750
769	55.98	560 	3.755
770	55.79	558 	3.760
771	55.61	556 	3.765
772	55.42	554 	3.770
773	55.23	552 	3.774
774	55.05	550 	3.779
775	54.86	549 	3.784
776	54.67	547 	3.789
777	54.49	545 	3.794
778	54.30	543 	3.799
779	54.11	541 	3.804
780	53.92	539 	3.809
781	53.73	537 	3.813
782	53.54	535 	3.818
783	53.35	534 	3.823
784	53.16	532 	3.828
785	52.97	530 	3.833
786	52.78	528 	3.838
787	52.59	526 	3.843
788	52.40	524 	3.848
789	52.21	522 	3.853
790	52.02	520 	3.857
791	51.83	518 	3.862
792	51.64	516 	3.867
793	51.44	514 	3.872
794	51.25	513 	3.877
795	51.06	511 	3.882
796	50.87	509 	3.887
797	50.67	507 	3.892
798	50.48	505 	3.896
799	50.29	503 	3.901
800	50.09	501 	3.906
801	49.90	499 	3.911
802	49.70	497 	3.916
803	49.51	495 	3.921
804	49.31	493 	3.926
805	49.12	491 	3.931
806	48.92	489 	3.936
807	48.72	487 	3.940
808	48.53	485 	3.945
809	48.33	483 	3.950
810	48.13	481 	3.955
811	47.93	479 	3.960
812	47.73	477 	3.965
813	47.54	475 	3.970
814	47.34	473 	3.975
815	47.14	471 	3.979
816	46.94	469 	3.984
817	46.74	467 	3.989
818	46.54	465 	3.994
819	46.34	463 	3.999
820	46.13	461 	4.004
821	45.93	459 	4.009
822	45.73	457 	4.014
823	45.53	455 	4.019
824	45.32	453 	4.023
825	45.12	451 	4.028
826	44.92	449 	4.033
827	44.71	447 	4.038
828	44.51	445 	4.043
829	44.30	443 	4.048
830	44.10	441 	4.053
831	43.89	439 	4.058
832	43.68	437 	4.063
833	43.48	435 	4.067
834	43.27	433 	4.072
835	43.06	431 	4.077
836	42.85	429 	4.082
837	42.64	426 	4.087
838	42.43	424 	4.092
839	42.22	422 	4.097
840	42.01	420 	4.102
841	41.80	418 	4.106
842	41.59	416 	4.111
843	41.38	414 	4.116
844	41.17	412 	4.121
845	40.95	410 	4.126
846	40.74	407 	4.131
847	40.53	405 	4.136
848	40.31	403 	4.141
849	40.10	401 	4.146
850	39.88	399 	4.150
851	39.66	397 	4.155
852	39.45	394 	4.160
853	39.23	392 	4.165
854	39.01	390 	4.170
855	38.79	388 	4.175
856	38.57	386 	4.180
857	38.35	384 	4.185
858	38.13	381 	4.189
859	37.91	379 	4.194
860	37.69	377 	4.199
861	37.47	375 	4.204
862	37.24	372 	4.209
863	37.02	370 	4.214
864	36.79	368 	4.219
865	36.57	366 	4.224
866	36.34	363 	4.229
867	36.12	361 	4.233
868	35.89	359 	4.238
869	35.66	357 	4.243
870	35.43	354 	4.248
871	35.20	352 	4.253
872	34.97	350 	4.258
873	34.74	347 	4.263
874	34.51	345 	4.268
875	34.28	343 	4.272
876	34.04	340 	4.277
877	33.81	338 	4.282
878	33.58	336 	4.287
879	33.34	333 	4.292
880	33.10	331 	4.297
881	32.87	329 	4.302
882	32.63	326 	4.307
883	32.39	324 	4.312
884	32.15	321 	4.316
885	31.91	319 	4.321
886	31.67	317 	4.326
887	31.42	314 	4.331
888	31.18	312 	4.336
889	30.93	309 	4.341
890	30.69	307 	4.346
891	30.44	304 	4.351
892	30.19	302 	4.355
893	29.95	299 	4.360
894	29.70	297 	4.365
895	29.45	294 	4.370
896	29.19	292 	4.375
897	28.94	289 	4.380
898	28.69	287 	4.385
899	28.43	284 	4.390
900	28.18	282 	4.395
901	27.92	279 	4.399
902	27.66	277 	4.404
903	27.40	274 	4.409
904	27.14	271 	4.414
905	26.88	269 	4.419
906	26.62	266 	4.424
907	26.35	264 	4.429
908	26.09	261 	4.434
909	25.82	258 	4.438
910	25.55	256 	4.443
911	25.29	253 	4.448
912	25.01	250 	4.453
913	24.74	247 	4.458
914	24.47	245 	4.463
915	24.19	242 	4.468
916	23.92	239 	4.473
917	23.64	236 	4.478
918	23.36	234 	4.482
919	23.08	231 	4.487
920	22.80	228 	4.492
921	22.52	225 	4.497
922	22.23	222 	4.502
923	21.94	219 	4.507
924	21.66	217 	4.512
925	21.37	214 	4.517
926	21.07	211 	4.521
927	20.78	208 	4.526
928	20.49	205 	4.531
929	20.19	202 	4.536
930	19.89	199 	4.541
931	19.59	196 	4.546
932	19.29	193 	4.551
933	18.98	190 	4.556
934	18.68	187 	4.561
935	18.37	184 	4.565
936	18.06	181 	4.570
937	17.75	177 	4.575
938	17.43	174 	4.580
939	17.11	171 	4.585
